model_name,regime,severity,N,MAE_M,MAE_logM,pearson_r,std_M,std_logM,frac_relerr_gt_50pct,MAE_omega_Q,MAE_Gamma_Q,fit_success_rate,arch,seed
spectral_transformer_5a_seed43,in_dist,1.0,1000,0.33568394956039266,0.2824517063969097,0.6297730802625532,2.8636282409569818,1.6136071001850538,0.141,0.1918008713722229,0.4115636998414993,,5a,43
spectral_transformer_5a_seed43,overdamped,1.0,611,0.04632720035163963,0.2949324984164649,0.9237290804017633,0.18633474457925084,1.1317491216595899,0.16693944353518822,0.17524264018781446,0.47271594810017586,,5a,43
spectral_transformer_5a_seed43,holdout_T,1.0,300,0.419205378901291,1.4061942266064638,0.8285346791813856,0.6407735865019349,1.3059738828673209,0.7866666666666666,0.842760910987854,2.4861143204569816,,5a,43
spectral_transformer_5a_seed43,holdout_c,1.0,300,0.17305118866575261,0.236180121587531,0.912335119671435,0.9696517058937146,1.3507441067218395,0.09,0.18228943427403768,0.33976950764656066,,5a,43
spectral_transformer_5a_seed43,holdout_E,1.0,300,0.32253180919370306,0.312999051661463,0.7611017258781925,2.5974377360745677,1.6555402229008422,0.15666666666666668,0.22559693257013957,0.4978617631147305,,5a,43
spectral_transformer_5a_seed43,stress,0.25,500,0.2326171700907871,0.17352926136725405,0.821164069917688,2.4450096356534723,1.6377638418979772,0.072,0.12861653327941894,0.2591096358448267,,5a,43
spectral_transformer_5a_seed43,stress,0.5,500,0.2584967104122043,0.18652942212335244,0.6556255301087186,2.4450096356534723,1.6377638418979772,0.064,0.14059552288055419,0.27647072575986387,,5a,43
spectral_transformer_5a_seed43,stress,1.0,500,0.2687174944644794,0.24128894513722224,0.6512568596020221,2.4450096356534723,1.6377638418979772,0.09,0.18644041013717652,0.3624379597604275,,5a,43
spectral_transformer_5a_seed43,stress,2.0,500,0.4846563752265647,0.4070336854725981,0.4437023520536157,2.4450096356534723,1.6377638418979772,0.254,0.2959504952430725,0.5813760478645563,,5a,43
spectral_transformer_5a_seed43,stress,4.0,500,0.7660507940566167,0.7727206925285975,0.27965072087108345,2.4450096356534723,1.6377638418979772,0.504,0.5433761029243469,1.1144303812533618,,5a,43
