model_name,regime,severity,N,MAE_M,MAE_logM,pearson_r,std_M,std_logM,frac_relerr_gt_50pct,MAE_omega_Q,MAE_Gamma_Q,fit_success_rate,arch,seed
spectral_transformer_5a_seed42,in_dist,1.0,1000,0.35604209037078544,0.29377381194470004,0.59647639483311,2.8636282409569818,1.6136071001850538,0.15,0.18973939633369447,0.43288189893960954,,5a,42
spectral_transformer_5a_seed42,overdamped,1.0,611,0.050589846150641694,0.3043362161320277,0.9148347244609675,0.18633474457925084,1.1317491216595899,0.16693944353518822,0.17566697336062667,0.49526368674201776,,5a,42
spectral_transformer_5a_seed42,holdout_T,1.0,300,0.46340626159566456,1.7806236153797237,0.8368700838763901,0.6407735865019349,1.3059738828673209,0.92,1.0777828407287597,3.0144627752403417,,5a,42
spectral_transformer_5a_seed42,holdout_c,1.0,300,0.19944962833387156,0.246789216913652,0.8964633340128639,0.9696517058937146,1.3507441067218395,0.11333333333333333,0.1731185976664225,0.3437304463982582,,5a,42
spectral_transformer_5a_seed42,holdout_E,1.0,300,0.3544241328180457,0.3206305201652798,0.7231001614215016,2.5974377360745677,1.6555402229008422,0.18666666666666668,0.2183385133743286,0.5091896347453196,,5a,42
spectral_transformer_5a_seed42,stress,0.25,500,0.3024384221145883,0.21497559562866023,0.8146369135670206,2.4450096356534723,1.6377638418979772,0.11,0.1303678297996521,0.3358239352107048,,5a,42
spectral_transformer_5a_seed42,stress,0.5,500,0.2923909522620961,0.21525657231809164,0.6686082172688461,2.4450096356534723,1.6377638418979772,0.092,0.14518094301223755,0.3295399635583162,,5a,42
spectral_transformer_5a_seed42,stress,1.0,500,0.3933164669489488,0.27713507549610633,0.47619491115929213,2.4450096356534723,1.6377638418979772,0.124,0.18611741161346435,0.4062629309147596,,5a,42
spectral_transformer_5a_seed42,stress,2.0,500,0.524600652162917,0.4234126062607163,0.3316766524533663,2.4450096356534723,1.6377638418979772,0.252,0.3017654204368591,0.6126751756072044,,5a,42
spectral_transformer_5a_seed42,stress,4.0,500,0.7312642170554027,0.7642170618560996,0.2416886407665103,2.4450096356534723,1.6377638418979772,0.51,0.5590429220199585,1.1158397634476422,,5a,42
