model_name,regime,severity,N,MAE_M,MAE_logM,pearson_r,std_M,std_logM,frac_relerr_gt_50pct,MAE_omega_Q,MAE_Gamma_Q,fit_success_rate,arch,seed
spectral_transformer_5a_seed44,in_dist,1.0,1000,0.3945853034094907,0.3117082374615463,0.5501534356506252,2.8636282409569818,1.6136071001850538,0.181,0.19754535937309264,0.4554576414078474,,5a,44
spectral_transformer_5a_seed44,overdamped,1.0,611,0.05288851174332335,0.3132531879959297,0.8772440183212398,0.18633474457925084,1.1317491216595899,0.19148936170212766,0.18273730949177094,0.5204797497357557,,5a,44
spectral_transformer_5a_seed44,holdout_T,1.0,300,0.4523834448823861,1.6348312549089798,0.7791716758324394,0.6407735865019349,1.3059738828673209,0.8633333333333333,0.9529009469350179,2.8719036619365217,,5a,44
spectral_transformer_5a_seed44,holdout_c,1.0,300,0.22123010322762032,0.2837072319066547,0.9063837931183552,0.9696517058937146,1.3507441067218395,0.18333333333333332,0.20818215290705364,0.3974428989489873,,5a,44
spectral_transformer_5a_seed44,holdout_E,1.0,300,0.32875884452058624,0.34536367362611076,0.7839785903890566,2.5974377360745677,1.6555402229008422,0.23666666666666666,0.23219934542973836,0.5775122018406789,,5a,44
spectral_transformer_5a_seed44,stress,0.25,500,0.2609522151229903,0.20817336901560754,0.7803183390388347,2.4450096356534723,1.6377638418979772,0.1,0.1320216555595398,0.3138566353917122,,5a,44
spectral_transformer_5a_seed44,stress,0.5,500,0.2849520764024928,0.2187909919444395,0.7011887315381168,2.4450096356534723,1.6377638418979772,0.094,0.14856279468536376,0.32605775049328806,,5a,44
spectral_transformer_5a_seed44,stress,1.0,500,0.32987974290084093,0.28423897917901575,0.6262371700993614,2.4450096356534723,1.6377638418979772,0.15,0.20813440656661988,0.4223351350277662,,5a,44
spectral_transformer_5a_seed44,stress,2.0,500,0.48254065145459024,0.44684926786858736,0.48219806440899604,2.4450096356534723,1.6377638418979772,0.296,0.30983986473083497,0.648056187108159,,5a,44
spectral_transformer_5a_seed44,stress,4.0,500,0.685636262348853,0.7993554093996454,0.2890363637436843,2.4450096356534723,1.6377638418979772,0.51,0.5706629090309143,1.207251652315259,,5a,44
