model_name,regime,severity,N,MAE_M,MAE_logM,pearson_r,std_M,std_logM,frac_relerr_gt_50pct,MAE_omega_Q,MAE_Gamma_Q,fit_success_rate,arch,seed
spectral_transformer_5b_seed42,in_dist,1.0,1000,0.47212225139839575,0.41874253832112995,0.46847432706276226,2.8636282409569818,1.6136071001850538,0.274,0.3074755403995514,0.6269246270209551,,5b,42
spectral_transformer_5b_seed42,overdamped,1.0,611,0.0742814856986843,0.4234285179576205,0.7720990121734708,0.18633474457925084,1.1317491216595899,0.29623567921440264,0.287856682232671,0.7001890088454401,,5b,42
spectral_transformer_5b_seed42,holdout_T,1.0,300,0.45791408795126093,1.9534799273203771,0.933442505445496,0.6407735865019349,1.3059738828673209,0.85,1.370050811767578,3.5534362941483657,,5b,42
spectral_transformer_5b_seed42,holdout_c,1.0,300,0.28497057014765836,0.39873378675175114,0.8157304713791116,0.9696517058937146,1.3507441067218395,0.2866666666666667,0.3096655893325806,0.6078621989488602,,5b,42
spectral_transformer_5b_seed42,holdout_E,1.0,300,0.40729620850334564,0.45242477073112375,0.6403562973647887,2.5974377360745677,1.6555402229008422,0.2633333333333333,0.3900699146588643,0.756370921805501,,5b,42
spectral_transformer_5b_seed42,stress,0.25,500,0.3518324743239209,0.26130747593890635,0.5377567584488322,2.4450096356534723,1.6377638418979772,0.122,0.19886176061630248,0.39357473741471766,,5b,42
spectral_transformer_5b_seed42,stress,0.5,500,0.3753392209624872,0.31401652159789795,0.5273140291356856,2.4450096356534723,1.6377638418979772,0.16,0.2547917289733887,0.4483162411004305,,5b,42
spectral_transformer_5b_seed42,stress,1.0,500,0.45415247182082386,0.427695430130324,0.44442792095325884,2.4450096356534723,1.6377638418979772,0.26,0.3242459254264832,0.6262768158167601,,5b,42
spectral_transformer_5b_seed42,stress,2.0,500,0.6054084516959265,0.637569710425781,0.24754255906707295,2.4450096356534723,1.6377638418979772,0.46,0.4283558397293091,0.9480746943801641,,5b,42
spectral_transformer_5b_seed42,stress,4.0,500,0.7726747340662405,0.9957202801720768,0.1492079750629871,2.4450096356534723,1.6377638418979772,0.64,0.769857078552246,1.4714424732774496,,5b,42
